,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
31,2,0,100.98,0,1,66845,2002,2,328,6.4043073018062735,6
32,2,0,53.71,2,0,80060,1994,1,849,10.34330358501324,6
33,3,2,91.41,2,1,93207,1998,3,612,6.7640051465382305,6
34,1,1,61.12,1,1,76735,2004,2,280,7.74677299240798,6
35,3,0,56.72,2,0,76693,1982,1,756,6.717969411142882,6
36,2,1,71.96,2,0,46554,1996,1,830,15.993003061106126,6
37,1,1,65.79,0,1,68400,2004,2,862,14.701858115996556,6
38,2,0,58.23,2,0,66118,1994,1,191,9.059839240930668,6
39,2,2,57.54,2,1,72993,1982,3,702,7.393671701697428,6
40,3,2,114.43,0,1,74107,2004,1,870,13.47991457391261,6
41,2,2,71.62,0,1,48730,2011,1,839,10.95162892291828,6
42,2,0,54.94,1,1,42774,1983,2,614,10.65051999291508,6
43,2,0,76.56,1,1,55513,2010,2,619,17.941512461648916,6
44,3,1,138.6,1,1,56278,2001,3,223,6.48963398602356,6
45,2,2,53.18,2,0,56225,1994,2,356,6.167340859946411,6
46,3,2,79.73,1,1,67729,1994,2,554,7.533331647037248,6
47,2,2,52.59,2,0,57236,1982,1,645,5.251901904811643,6
48,2,1,58.61,0,1,75073,1990,1,612,7.884185443283134,6
49,3,1,89.69,0,1,55748,2010,2,619,17.941512461648916,6
50,2,1,58.1,0,1,96214,1985,4,527,7.041072098523466,6
51,1,1,55.94,0,1,71148,2005,1,394,6.023414759074551,6
52,2,2,88.08,0,1,47571,2010,1,740,17.910601269040825,6
53,4,2,173.62,1,1,54718,2013,1,977,17.857761924555184,6
54,3,1,170.14,2,1,132245,2009,1,817,12.107866051189792,6
55,3,0,167.81,2,1,77171,2006,2,288,10.224375916234582,6
56,2,0,160.01,0,1,71246,2003,1,434,4.390027033943139,6
57,3,0,188.99,2,1,85190,2007,3,741,9.63396725140373,6
58,3,2,149.23,0,1,54279,2005,2,507,10.824084921743912,6
59,3,1,88.04,0,1,61336,1992,1,780,7.312206878588953,6
